permno,io_persist,me_mean,log_me_mean,iv_mean,mom_mean,ret_mean,tercile,siccd,nm,state,me_mean_M,sic_div,me_q
11511,0.026103116388781687,37.17879523473684,3.3713123558971803,0.922142168026828,0.06917440909171098,0.020767287684210524,1,3260,95,US-MA,0.03717879523473684,Manufacturing,Q1 micro
11513,0.05692577424279952,26.069737645833335,3.0636011866684187,0.9837147578664412,-0.47790393035791606,-0.0006552984722222272,1,6030,72,US-KY,0.026069737645833334,FIRE,Q1 micro
11552,0.5968470683086716,57309.68834365631,10.829443927071004,-0.5309531037379054,0.15381177959225983,0.014574515384615384,2,2890,130,US-NJ,57.309688343656305,Manufacturing,Q5 mega
11565,0.33787664826780667,413.4375043577778,5.681329120540613,-0.5432341782049377,0.1533342319100847,0.016394584222222224,1,6710,180,US-IN,0.4134375043577778,FIRE,Q3
11581,0.7651667873547585,1561.8148545555557,7.31625068118467,-0.5733099489404421,-0.0866034841269489,0.007241266666666667,3,3545,180,US-WI,1.5618148545555557,Manufacturing,Q4
11587,0.4012683488294405,803.9734628416668,6.546477134279802,-0.517595181806434,0.21645051635539583,0.012398594444444444,2,4920,180,US-TX,0.8039734628416668,Transp/Util,Q4
11593,0.10906436923016626,76.85586869388888,4.091489942348185,0.3446534636178195,0.22143119333243474,0.020998746277777775,1,6162,180,US-UT,0.07685586869388888,FIRE,Q2
11599,0.5635707691904741,925.92126609375,6.802073954684916,-0.49861812170042236,-0.10321868565586056,0.0214015625,2,4213,64,US-IL,0.92592126609375,Transp/Util,Q4
11600,0.4642212985161246,8600.241511416667,8.983300565894321,-0.7483711950752859,-0.0640698843862049,0.0045955833333333335,2,3840,180,US-NC,8.600241511416668,Manufacturing,Q5 mega
11618,0.5812471827690509,16962.780564722223,9.61745960439838,-0.7233915792542259,0.1926928106184653,0.016009727777777778,2,5200,180,US-MN,16.962780564722223,RetailTrade,Q5 mega
11628,0.6314586337964638,613.8247383888888,6.199006564131022,-0.2156981898868507,-0.2030545474374838,-0.0007078058888888643,3,6022,180,US-HI,0.6138247383888888,FIRE,Q3
11641,0.7769329287946664,1207.9207707878788,6.934744096336427,-0.1874905438479069,0.2822289895205556,0.028819414141414142,3,4520,99,US-CO,1.2079207707878787,Transp/Util,Q4
11644,0.21317431457947966,1180.2348501966667,6.57061750696043,0.541695340065369,-0.1899939991274357,-0.0009400033888888801,1,1311,180,US-TX,1.1802348501966666,Mining,Q4
11652,0.06177151832007255,54.96912931702128,4.000505500737296,-0.3882044346787696,0.2311766215325308,0.013440510638297874,1,6036,47,US-PA,0.054969129317021276,FIRE,Q1 micro
11654,0.15513843014305756,57.385158951111116,3.9959697819493933,-0.03544404758482853,-0.02033989583711301,0.0065684694444444434,1,2833,180,US-CA,0.05738515895111112,Manufacturing,Q1 micro
11674,0.487924620390612,16166.5182155275,9.59719079215149,-0.8752868974371464,0.16516424714944733,0.011676427777777778,2,4911,180,US-MI,16.1665182155275,Transp/Util,Q5 mega
11691,0.5996113689488523,1798.3068425555555,7.415280989393361,-0.40993504642822104,0.14063027313083315,0.0189724,2,4424,180,US-HI,1.7983068425555555,Transp/Util,Q4
